,genre1,genre2,style1,style2,style3,style4,style5,mood1,mood2,mood3,mood4,mood5,mood6,mood7,mood8,mood9,mood10
s club 7,Pop/Rock,,Dance-Pop,Pop,Teen Pop,,,Energetic,Fun,Sweet,Theatrical,Bright,Campy,Celebratory,Cheerful,Exuberant,Passionate
sade,R&B,,Adult Contemporary,Sophisti-Pop,Adult Contemporary R&B,Quiet Storm,,Elegant,Laid-Back/Mellow,Refined,Romantic,Sensual,Sentimental,Sexy,Soothing,Stylish,Slick
safire,Pop/Rock,,Adult Contemporary,Club/Dance,Freestyle,Latin Freestyle,,Laid-Back/Mellow,Romantic,Sentimental,Stylish,,,,,,
sailcat,Pop/Rock,,AM Pop,Southern Rock,Contemporary Pop/Rock,,,Amiable/Good-Natured,Carefree,Dreamy,Earthy,Laid-Back/Mellow,Organic,Reflective,Sentimental,Witty,
saltnpepa,Rap,,Pop-Rap,Golden Age,East Coast Rap,,,Boisterous,Brash,Confident,Fun,Lively,Sexual,Carefree,Energetic,Sexy,Swaggering
saltnpepa and en vogue,Pop/Rock,,Alternative Pop/Rock,Alternative/Indie Rock,College Rock,Noise Pop,Post-Punk,Brooding,Detached,Druggy,Hypnotic,Acerbic,Cathartic,Cynical/Sarcastic,Melancholy,Paranoid,Plaintive
sam  dave,R&B,,Deep Soul,Memphis Soul,Soul,Southern Soul,,Carefree,Confident,Exciting,Gritty,Rousing,Summery,Boisterous,Bravado,Celebratory,Energetic
sam and dave,R&B,,Deep Soul,Memphis Soul,Soul,Southern Soul,,Carefree,Confident,Exciting,Gritty,Rousing,Summery,Boisterous,Bravado,Celebratory,Energetic
sam cooke,R&B,Religious,Soul,Black Gospel,Early R&B,Gospel,,Confident,Elegant,Joyous,Passionate,Relaxed,Carefree,Cheerful,Gentle,Romantic,Smooth
sam hunt,Country,,Contemporary Country,Contemporary Pop/Rock,Country-Pop,,,Amiable/Good-Natured,Carefree,Bittersweet,Bright,Cheerful,Confident,Earnest,Exuberant,Fun,Happy
sam smith,Pop/Rock,,Pop,Adult Contemporary,Contemporary R&B,,,Passionate,Dramatic,Stylish,Yearning,Bright,Intimate,Lively,Powerful,Romantic,Smooth
sam the sham and the pharaohs,Pop/Rock,Latin,Rock & Roll,Frat Rock,Garage Rock,Psychedelic/Garage,Mexican Traditions,Boisterous,Bright,Exuberant,Raucous,Swaggering,Exciting,Fun,Greasy,Rollicking,Celebratory
samantha fox,Pop/Rock,,Dance-Pop,Pop,,,,Sexual,Celebratory,Hedonistic,Rousing,Sensual,Sexy,Stylish,Energetic,Fun,Playful
samantha mumba,Pop/Rock,,Dance-Pop,Pop,Teen Pop,,,Celebratory,Energetic,Playful,Sentimental,Carefree,Romantic,Sensual,Sexy,Stylish,Sweet
samantha sang,Pop/Rock,,Soft Rock,Contemporary Pop/Rock,,,,Carefree,Celebratory,Cheerful,Fun,Happy,Poignant,Sentimental,Stylish,Passionate,Romantic
sammi smith,Country,,Country-Pop,Outlaw Country,Progressive Country,,,Lush,Organic,Passionate,Searching,Sentimental,Yearning,,,,
sammie,R&B,,Contemporary R&B,,,,,Boisterous,Bright,Carefree,Dramatic,Extroverted,Exuberant,Warm,Yearning,Laid-Back/Mellow,Passionate
sammy davis jr,Vocal,Jazz,Cast Recordings,Show Tunes,Show/Musical,Traditional Pop,Vocal Jazz,Amiable/Good-Natured,Calm/Peaceful,Earnest,Fun,Intimate,Lively,Playful,Soothing,Brash,Carefree
sammy hagar,Pop/Rock,,Arena Rock,Hard Rock,Contemporary Pop/Rock,Album Rock,Heavy Metal,Boisterous,Celebratory,Rowdy,Swaggering,Brash,Bravado,Energetic,Freewheeling,Fun,Rambunctious
sammy johns,Pop/Rock,,Contemporary Pop/Rock,,,,,,,,,,,,,,
sandy posey,Country,Pop/Rock,Country-Pop,Nashville Sound/Countrypolitan,Girl Groups,,,Melancholy,Plaintive,Sweet,Amiable/Good-Natured,Autumnal,Bittersweet,Innocent,Intimate,Naive,Reflective
sanfordtownsend band,Pop/Rock,,,,,,,,,,,,,,,,
santa esmeralda,Pop/Rock,,Disco,Euro-Disco,Club/Dance,,,Boisterous,Celebratory,Energetic,Exuberant,Fun,Rousing,,,,
santana,Pop/Rock,Jazz,Album Rock,Blues-Rock,Fusion,Hard Rock,Latin Rock,Earthy,Fiery,Freewheeling,Lively,Organic,Summery,Brash,Intense,Joyous,Passionate
sara bareilles,Pop/Rock,,Contemporary Singer/Songwriter,Adult Alternative Pop/Rock,Alternative/Indie Rock,,,Dramatic,Earnest,Intimate,Literate,Refined,Precious,Theatrical,Wistful,Witty,Bittersweet
sarah mclachlan,Pop/Rock,,Adult Alternative Pop/Rock,Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Singer/Songwriter,Contemporary Pop/Rock,Elegant,Reflective,Literate,Passionate,Poignant,Soft/Quiet,Soothing,Amiable/Good-Natured,Bittersweet,Gentle
savage garden,Pop/Rock,,Adult Contemporary,Dance-Pop,Adult Alternative Pop/Rock,Alternative/Indie Rock,,Bittersweet,Brooding,Calm/Peaceful,Carefree,Celebratory,Cheerful,Confrontational,Innocent,Passionate,Playful
saving abel,Pop/Rock,,Hard Rock,Post-Grunge,,,,Cathartic,Confident,Swaggering,Passionate,Celebratory,Energetic,Rousing,Sexual,Angst-Ridden,Fiery
scandal,Pop/Rock,,Album Rock,Contemporary Pop/Rock,Hard Rock,New Wave,Punk/New Wave,Confident,Fun,Rousing,Slick,Stylish,Swaggering,Urgent,,,
scarface,Rap,,Gangsta Rap,Hardcore Rap,Southern Rap,,,Angry,Bitter,Hostile,Visceral,Aggressive,Brash,Confident,Confrontational,Harsh,Menacing
schoolboy q,Rap,,West Coast Rap,,,,,Aggressive,Ambitious,Brash,Cathartic,Celebratory,Complex,Confident,Declamatory,Druggy,Hedonistic
scorpions,Pop/Rock,,Hard Rock,Heavy Metal,Album Rock,Contemporary Pop/Rock,Hair Metal,Dramatic,Energetic,Hedonistic,Rebellious,Celebratory,Intense,Rowdy,Aggressive,Confident,Fiery
scott mckenzie,Pop/Rock,,AM Pop,Folk-Rock,Psychedelic/Garage,Sunshine Pop,Contemporary Pop/Rock,Amiable/Good-Natured,Calm/Peaceful,Gentle,Melancholy,Wistful,Autumnal,Bittersweet,Bright,Carefree,Cheerful
scritti politti,Pop/Rock,,Contemporary Pop/Rock,Dance-Pop,Sophisti-Pop,Dance-Rock,Post-Punk,Ambitious,Campy,Celebratory,Cerebral,Complex,Exuberant,Naive,Refined,Sparse,Stylish
seal,Pop/Rock,,Adult Contemporary,Contemporary Pop/Rock,Adult Contemporary R&B,Club/Dance,,Earnest,Elegant,Gentle,Romantic,Intimate,Passionate,Plaintive,Poignant,Reflective,Searching
seals and crofts,Pop/Rock,,Contemporary Pop/Rock,Singer/Songwriter,Soft Rock,AM Pop,,Calm/Peaceful,Laid-Back/Mellow,Warm,Amiable/Good-Natured,Autumnal,Organic,Soft/Quiet,Summery,Carefree,Earnest
sean kingston,Rap,,Pop,Pop-Rap,Reggae-Pop,Southern Rap,,Brash,Energetic,Light,Lively,Rollicking,Swaggering,Bravado,Bright,Celebratory,Confident
sean kingston and justin bieber,Rap,Pop/Rock,,,,,,,,,,,,,,,
sean paul,Reggae,Pop/Rock,Dancehall,Pop,,,,Brash,Confident,Energetic,Street-Smart,Boisterous,Freewheeling,Playful,Earnest,Theatrical,
secondhand serenade,Pop/Rock,,Alternative/Indie Rock,Emo-Pop,,,,Angst-Ridden,Cathartic,Confrontational,Earnest,Intimate,Plaintive,Poignant,Searching,Wistful,Yearning
seduction,Easy Listening,Classical,Orchestral/Easy Listening,Easy Pop,Mood Music,Instrumental Pop,Classical Pop,Sensual,Sentimental,Amiable/Good-Natured,Atmospheric,Bittersweet,Bright,Calm/Peaceful,Dreamy,Innocent,Intimate
selena gomez,Pop/Rock,,Pop,Teen Pop,Club/Dance,Dance-Pop,,Amiable/Good-Natured,Bright,Carefree,Celebratory,Cheerful,Fun,Gleeful,Happy,Rousing,Dramatic
selena gomez  the scene,Pop/Rock,,Pop,Teen Pop,Dance-Pop,,,Amiable/Good-Natured,Bright,Carefree,Celebratory,Cheerful,Fun,Gleeful,Happy,Rousing,Dramatic
sergio mendes,Easy Listening,International,AM Pop,Bossa Nova,Brazilian Traditions,Latin Pop,Lounge,Cheerful,Happy,Sweet,Soothing,Summery,Wistful,Elegant,Gentle,Innocent,Laid-Back/Mellow
shadows of knight,Pop/Rock,,Garage Rock,Psychedelic/Garage,Rock & Roll,,,Boisterous,Celebratory,Passionate,Confident,Swaggering,Confrontational,Gritty,Rebellious,Summery,Tough
shaggy,Reggae,,Contemporary Reggae,Dancehall,Ragga,Reggae-Pop,Club/Dance,Carefree,Celebratory,Summery,Cheerful,Fun,Stylish,Playful,,,
shai,R&B,,Contemporary R&B,,,,,Sensual,Smooth,Stylish,,,,,,,
shakespears sister,Pop/Rock,,Adult Contemporary,Dance-Pop,Alternative Pop/Rock,Alternative/Indie Rock,,Celebratory,Energetic,Passionate,Playful,Refined,Sentimental,Boisterous,Bright,Dramatic,Exuberant
shakira,Latin,Pop/Rock,Latin Pop,Pop,Adult Contemporary,Club/Dance,Dance-Pop,Carefree,Celebratory,Energetic,Fun,Sexy,Spicy,Confident,Erotic,Freewheeling,Lively
shalamar,R&B,,Contemporary R&B,Disco,Post-Disco,,,Celebratory,Fun,Sensual,Sexy,Stylish,Energetic,Intimate,Romantic,Amiable/Good-Natured,Exuberant
shania twain,Country,,Contemporary Country,Country-Pop,Adult Contemporary,Contemporary Pop/Rock,,Freewheeling,Slick,Energetic,Bright,Cheerful,Intense,Passionate,Poignant,Sensual,Sexy
shanice,R&B,,Contemporary R&B,,,,,Strong,Sensual,Sentimental,Agreeable,Romantic,Dreamy,Intimate,Marching,Positive,Relaxed
shannon,Pop/Rock,,AM Pop,Contemporary Pop/Rock,Rock & Roll,Soft Rock,,Amiable/Good-Natured,Earnest,Intimate,Poignant,Happy,Rollicking,Sentimental,Sweet,,
shaun cassidy,Pop/Rock,,Bubblegum,Contemporary Pop/Rock,Teen Idols,AM Pop,,Amiable/Good-Natured,Carefree,Exuberant,Fun,Innocent,Playful,Summery,Sweet,Cheerful,Happy
shawn colvin,Pop/Rock,Folk,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Folk,Contemporary Singer/Songwriter,,Bittersweet,Passionate,Poignant,Earnest,Introspective,Reflective,Searching,Warm,Yearning,Agreeable
shawn mendes,Pop/Rock,,Pop,Contemporary Singer/Songwriter,Dance-Pop,Teen Pop,,Carefree,Relaxed,Restrained,Smooth,Amiable/Good-Natured,Bright,Confident,Earnest,Passionate,Playful
shawn mullins,Pop/Rock,Country,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Singer/Songwriter,Americana,,Bittersweet,Confident,Earnest,Sentimental,Bright,Dramatic,Earthy,Exuberant,Freewheeling,Intimate
sheena easton,Pop/Rock,,Adult Contemporary,Contemporary Pop/Rock,Dance-Pop,Film Score,Soft Rock,Carefree,Celebratory,Playful,Sentimental,Stylish,Amiable/Good-Natured,Brash,Confident,Earnest,Exuberant
sheila e,R&B,,Contemporary R&B,Dance-Pop,Contemporary Pop/Rock,Contemporary Jazz,,Amiable/Good-Natured,Celebratory,Exuberant,Playful,Sensual,Sophisticated,Stylish,Earnest,Reflective,Theatrical
sheriff,Pop/Rock,,Album Rock,Contemporary Pop/Rock,Hard Rock,Soft Rock,,Earnest,Poignant,Yearning,Cheerful,Plaintive,Urgent,,,,
sheryl crow,Pop/Rock,,Adult Alternative Pop/Rock,Alternative/Indie Rock,American Trad Rock,Contemporary Pop/Rock,Contemporary Singer/Songwriter,Amiable/Good-Natured,Carefree,Effervescent,Fun,Laid-Back/Mellow,Ramshackle,Searching,Summery,Swaggering,Autumnal
shinedown,Pop/Rock,,Hard Rock,Post-Grunge,Heavy Metal,Nü Metal,,Provocative,Visceral,Earnest,Tense/Anxious,Aggressive,Angst-Ridden,Anguished/Distraught,Confrontational,Dramatic,Harsh
shirley bassey,Vocal,Stage & Screen,Film Score,Traditional Pop,Vocal Pop,Cast Recordings,Show Tunes,Brash,Confident,Theatrical,Boisterous,Elegant,Passionate,Provocative,Aggressive,Dramatic,Fun
shirley ellis,R&B,Pop/Rock,Girl Groups,Pop-Soul,Soul,Early Pop/Rock,Early R&B,Amiable/Good-Natured,Carefree,Cheerful,Exuberant,Fun,Rollicking,Happy,,,
shocking blue,Pop/Rock,,AM Pop,Contemporary Pop/Rock,,,,Lively,Rollicking,Carefree,Confident,Fun,Happy,Playful,Sensual,Amiable/Good-Natured,Bravado
shontelle,R&B,,Pop,Contemporary R&B,,,,Bright,Sweet,Energetic,Fun,Passionate,Slick,Warm,Yearning,Celebratory,Exuberant
shop boyz,Rap,Pop/Rock,Pop-Rap,Southern Rap,Party Rap,Rap-Rock,,Aggressive,Boisterous,Celebratory,Dramatic,Energetic,Hedonistic,Rambunctious,Rowdy,Swaggering,Urgent
shorty long,R&B,Blues,Early R&B,Motown,Pop-Soul,Soul,,,,,,,,,,,
sia,Pop/Rock,,Alternative/Indie Rock,Adult Alternative Pop/Rock,Pop,Alternative Singer/Songwriter,,Ambitious,Dramatic,Bittersweet,Earnest,Intimate,Lush,Playful,Searching,Sensual,Warm
silento,Rap,,Pop-Rap,Southern Rap,,,,Animated,Boisterous,Brash,Carefree,Thrilling,Urgent,Playful,Street-Smart,Striding,Strong
silk,R&B,,Contemporary R&B,New Jack Swing,,,,Dramatic,Elegant,Indulgent,Intimate,Laid-Back/Mellow,Languid,Romantic,Sensual,Sexual,Soothing
silver,Pop/Rock,,Contemporary Pop/Rock,Hard Rock,Power Pop,Album Rock,Arena Rock,Brash,Lively,Witty,Confident,Crunchy,Energetic,Fun,Gleeful,Rambunctious,Rousing
silver convention,R&B,,Disco,Soul,,,,Positive,Carefree,Explosive,Strong,Marching,,,,,
simon  garfunkel,Pop/Rock,Folk,Folk-Rock,Singer/Songwriter,AM Pop,Folk-Pop,Psychedelic/Garage,Autumnal,Earnest,Pastoral,Wistful,Bittersweet,Calm/Peaceful,Delicate,Melancholy,Plaintive,Sentimental
simple minds,Pop/Rock,,New Wave,College Rock,Dance-Rock,Post-Punk,Contemporary Pop/Rock,Earnest,Melancholy,Sophisticated,Theatrical,Bittersweet,Cathartic,Clinical,Detached,Dramatic,Intimate
simply red,Pop/Rock,R&B,Adult Contemporary,Alternative/Indie Rock,Blue-Eyed Soul,Sophisti-Pop,Soul,Bittersweet,Reflective,Earnest,Gentle,Literate,Refined,Romantic,Sentimental,Sweet,Sensual
sinead oconnor,Pop/Rock,,Adult Alternative Pop/Rock,Alternative Pop/Rock,College Rock,Alternative Singer/Songwriter,Celtic Rock,Fierce,Atmospheric,Dramatic,Dreamy,Earthy,Literate,Melancholy,Organic,Poignant,Rebellious
sir douglas quintet,Pop/Rock,Latin,Country-Rock,Rock & Roll,Tex-Mex,Mexican Traditions,Album Rock,Earthy,Freewheeling,Rollicking,Rowdy,Bittersweet,Complex,Confident,Exuberant,Fun,Gritty
sir mixalot,Rap,,Party Rap,Pop-Rap,West Coast Rap,,,Celebratory,Confident,Exuberant,Boisterous,Brash,Raucous,Rousing,Aggressive,Energetic,Freewheeling
sisqo,R&B,,Contemporary R&B,,,,,Sexual,Stylish,Celebratory,Passionate,Intimate,Playful,Romantic,Sensual,Summery,Sentimental
sister hazel,Pop/Rock,,Adult Alternative Pop/Rock,Alternative/Indie Rock,American Trad Rock,Post-Grunge,Alternative Pop/Rock,Amiable/Good-Natured,Confident,Earthy,Exuberant,Gutsy,Lively,Plaintive,Reflective,Rousing,Slick
sister janet mead,Religious,,Gospel,,,,,,,,,,,,,,
sister sledge,R&B,Pop/Rock,Dance-Pop,Disco,Urban,Smooth Soul,Quiet Storm,Celebratory,Exuberant,Stylish,Confident,Playful,Sensual,Carefree,Energetic,Fun,
sixpence none the richer,Pop/Rock,Religious,Alternative CCM,Alternative Pop/Rock,Alternative/Indie Rock,CCM,Contemporary Christian,Earnest,Innocent,Refined,Gentle,Intimate,Sweet,Plaintive,Reflective,Reverent,Wistful
skeelo,Rap,,Pop-Rap,,,,,,,,,,,,,,
skid row,Pop/Rock,,Hair Metal,Hard Rock,Pop-Metal,Heavy Metal,,Energetic,Rollicking,Aggressive,Confident,Freewheeling,Sprawling,Trippy,Brash,Exuberant,Intense
skrillex and diplo,Electronic,,Club/Dance,Bass Music,Trip-Hop,Party Rap,,Celebratory,Energetic,Hypnotic,Laid-Back/Mellow,Clinical,Intense,Nocturnal,Aggressive,Boisterous,Brooding
skylark,Jazz,,Cool,Jazz Instrument,Mainstream Jazz,Piano Jazz,Saxophone Jazz,Calm/Peaceful,Elegant,Gentle,Intimate,Laid-Back/Mellow,Melancholy,Poignant,Reflective,Romantic,Soothing
slim harpo,Blues,R&B,Electric Harmonica Blues,Harmonica Blues,Louisiana Blues,Regional Blues,Swamp Blues,Earnest,Earthy,Organic,Rollicking,Rustic,Amiable/Good-Natured,Confident,Gritty,Greasy,Hypnotic
sly  the family stone,R&B,Pop/Rock,Contemporary Pop/Rock,Funk,Psychedelic Soul,Soul,AM Pop,Celebratory,Exuberant,Freewheeling,Lively,Passionate,Rousing,Summery,Warm,Amiable/Good-Natured,Druggy
sly fox,Pop/Rock,,Dance-Pop,Contemporary Pop/Rock,Club/Dance,Pop,,Strong,Summery,Swaggering,Carefree,Energetic,Jovial,Joyous,Playful,Rollicking,Striding
smash mouth,Pop/Rock,,Alternative Pop/Rock,Alternative/Indie Rock,Post-Grunge,Ska-Punk,Contemporary Pop/Rock,Carefree,Celebratory,Effervescent,Amiable/Good-Natured,Fun,Summery,Cheerful,Happy,Light,Playful
smith,Pop/Rock,,AM Pop,Contemporary Pop/Rock,Blue-Eyed Soul,,,,,,,,,,,,
smokey robinson,R&B,,Motown,Pop-Soul,Quiet Storm,Smooth Soul,Soul,Intimate,Poignant,Sentimental,Smooth,Summery,Sweet,Cheerful,Earnest,Romantic,Soothing
snap,Pop/Rock,,Alternative/Indie Rock,British Punk,Mod Revival,New Wave,Punk,Aggressive,Brash,Confident,Rousing,Urgent,Angst-Ridden,Energetic,Fiery,Passionate,Tense/Anxious
snoop dogg,Rap,,G-Funk,Gangsta Rap,West Coast Rap,,,Confident,Detached,Druggy,Street-Smart,Witty,Sleazy,Brash,Aggressive,Boisterous,Celebratory
snoop dogg and wiz khalifa,Pop/Rock,,Contemporary Pop/Rock,Pop,Contemporary R&B,,,Innocent,Nostalgic,Sugary,Summery,Bright,Calm/Peaceful,Confident,Extroverted,Light,Romantic
snoop doggy dogg,Rap,,G-Funk,Gangsta Rap,West Coast Rap,,,Confident,Detached,Druggy,Street-Smart,Witty,Sleazy,Brash,Aggressive,Boisterous,Celebratory
snow,Pop/Rock,,Neo-Prog,Prog-Rock,Art Rock,Hard Rock,,Ambitious,Cerebral,Energetic,Freewheeling,Literate,Somber,Sophisticated,Complex,Difficult,Elaborate
snow patrol,Pop/Rock,,Alternative Pop/Rock,Alternative/Indie Rock,Adult Alternative Pop/Rock,,,Searching,Yearning,Earnest,Cheerful,Dramatic,Druggy,Energetic,Epic,Intimate,Literate
soft cell,Pop/Rock,,New Romantic,New Wave,Punk/New Wave,Synth Pop,Dance-Pop,Brooding,Indulgent,Passionate,Refined,Bittersweet,Brash,Dramatic,Hedonistic,Intimate,Lively
somethin for the people,R&B,,Contemporary R&B,,,,,Sentimental,Agreeable,Positive,Sensual,Striding,Strong,Calm/Peaceful,Dreamy,Marching,Romantic
son by four,Latin,Pop/Rock,Latin Pop,Tropical,Rock en Español,Puerto Rican Traditions,,Dramatic,Melancholy,Wistful,Autumnal,Intense,Reflective,Theatrical,Atmospheric,Brooding,Earnest
sonique,Electronic,,Club/Dance,House,Progressive House,,,Campy,Energetic,Rambunctious,Sophisticated,Stylish,Trippy,Confident,Exuberant,Romantic,Rousing
sonny  cher,Pop/Rock,,AM Pop,Folk-Rock,Early Pop/Rock,Contemporary Pop/Rock,,Amiable/Good-Natured,Cheerful,Earnest,Innocent,Summery,Campy,Fun,Sweet,Whimsical,Carefree
sonny bono,Pop/Rock,Folk,AM Pop,Psychedelic Pop,Folk-Pop,Psychedelic/Garage,,Detached,Ironic,Quirky,Trippy,Acerbic,Cynical/Sarcastic,Humorous,Irreverent,Self-Conscious,Weary
sophie b hawkins,Pop/Rock,Classical,Adult Contemporary,Vocal Music,Contemporary Pop/Rock,Contemporary Singer/Songwriter,,Earnest,Sensual,Autumnal,Bittersweet,Gentle,Intimate,Laid-Back/Mellow,Literate,Melancholy,Passionate
soul asylum,Pop/Rock,,Adult Alternative Pop/Rock,Alternative Pop/Rock,Alternative/Indie Rock,American Underground,College Rock,Autumnal,Earnest,Raucous,Wistful,Angst-Ridden,Brooding,Literate,Melancholy,Yearning,Rousing
soul for real,R&B,,Contemporary R&B,,,,,,,,,,,,,,
soul ii soul,R&B,,Club/Dance,Contemporary R&B,Adult Contemporary R&B,House,,Sophisticated,Elegant,Soothing,Stylish,Warm,Agreeable,Atmospheric,Bright,Calm/Peaceful,Confident
souldecision,Pop/Rock,Electronic,Club/Dance,Dance-Pop,Euro-Dance,,,,,,,,,,,,
soulja boy tell em,Rap,,Gangsta Rap,Hardcore Rap,Pop-Rap,,,Boisterous,Sleazy,Street-Smart,Swaggering,Tough,Celebratory,Energetic,Exuberant,Irreverent,Rambunctious
sounds orchestral,Easy Listening,,Easy Pop,Orchestral/Easy Listening,,,,Amiable/Good-Natured,Calm/Peaceful,Elaborate,Elegant,Gentle,Humorous,Poignant,Soothing,Sophisticated,Stylish
spandau ballet,Pop/Rock,,Contemporary Pop/Rock,New Romantic,New Wave,Punk/New Wave,Dance-Pop,Elegant,Slick,Stylish,Playful,Sophisticated,Confident,Lively,Rousing,Rebellious,Passionate
spice girls,Pop/Rock,Electronic,Adult Contemporary,Club/Dance,Dance-Pop,Euro-Dance,Euro-Pop,Effervescent,Sugary,Cheerful,Fun,Spicy,Sweet,Innocent,Celebratory,Playful,Silly
spin doctors,Pop/Rock,,American Trad Rock,Contemporary Pop/Rock,Jam Bands,Alternative Pop/Rock,Alternative/Indie Rock,Bright,Acerbic,Carefree,Summery,Amiable/Good-Natured,Cheerful,Freewheeling,Fun,Irreverent,Playful
spiral starecase,Pop/Rock,,AM Pop,Baroque Pop,Psychedelic Pop,Psychedelic/Garage,Sunshine Pop,Bittersweet,Elegant,Lush,Naive,Precious,Refined,Restrained,Sophisticated,Whimsical,Witty
ssgt barry sadler,Vocal,Pop/Rock,Vocal Pop,Early Pop/Rock,,,,Nostalgic,Plaintive,Poignant,Sentimental,Gentle,Reflective,Melancholy,,,
stacey q,Pop/Rock,,Adult Contemporary,Club/Dance,Dance-Pop,Hi-NRG,,Bright,Sugary,Urgent,Yearning,Energetic,Fun,Giddy,Intense,Intimate,Joyous
staind,Pop/Rock,,Alternative Metal,Nü Metal,Post-Grunge,Heavy Metal,Alternative/Indie Rock,Angry,Angst-Ridden,Volatile,Aggressive,Anguished/Distraught,Cathartic,Cold,Earnest,Hostile,Melancholy
starbuck,Pop/Rock,,Soft Rock,Contemporary Pop/Rock,AM Pop,,,Gentle,Reflective,Intimate,Sentimental,Amiable/Good-Natured,Atmospheric,Light,Restrained,Romantic,Summery
starland vocal band,Pop/Rock,,Soft Rock,Contemporary Pop/Rock,AM Pop,,,Light,Amiable/Good-Natured,Earnest,Laid-Back/Mellow,,,,,,
starpoint,R&B,,Contemporary R&B,Disco,Post-Disco,,,Exciting,Flashy,Rollicking,Striding,Strong,Stylish,Sweet,Thrilling,Urgent,Yearning
stars on 45,Pop/Rock,,Club/Dance,Disco,,,,,,,,,,,,,
starship,Pop/Rock,,Adult Contemporary,Contemporary Pop/Rock,Arena Rock,Rock & Roll,,Bravado,Confident,Passionate,Bright,Energetic,Dramatic,Laid-Back/Mellow,Yearning,Freewheeling,Intimate
status quo,Pop/Rock,Rap,Boogie Rock,Hard Rock,Psychedelic Pop,Psychedelic/Garage,Rock & Roll,Aggressive,Amiable/Good-Natured,Celebratory,Innocent,Rollicking,Cheerful,Confident,Exuberant,Happy,Organic
stealers wheel,Pop/Rock,,AM Pop,Contemporary Pop/Rock,Soft Rock,Singer/Songwriter,,Amiable/Good-Natured,Cheerful,Literate,Organic,Freewheeling,Fun,Playful,Quirky,Witty,Rollicking
steely dan,Pop/Rock,,Album Rock,Contemporary Pop/Rock,Jazz-Rock,Soft Rock,,Literate,Smooth,Sophisticated,Acerbic,Cerebral,Cynical/Sarcastic,Enigmatic,Ironic,Laid-Back/Mellow,Quirky
stephen bishop,Pop/Rock,Stage & Screen,Adult Contemporary,Contemporary Pop/Rock,Soft Rock,,,Laid-Back/Mellow,Sentimental,Smooth,Reserved,Soothing,Amiable/Good-Natured,Earnest,Refined,Gentle,Intimate
steppenwolf,Pop/Rock,,Acid Rock,Hard Rock,Album Rock,Heavy Metal,Rock & Roll,Bravado,Confident,Energetic,Street-Smart,Summery,Aggressive,Earthy,Greasy,Gutsy,Rousing
steve forbert,Pop/Rock,Folk,Contemporary Folk,Singer/Songwriter,Soft Rock,Contemporary Singer/Songwriter,Contemporary Pop/Rock,Carefree,Cheerful,Confident,Gutsy,Passionate,Romantic,Searching,Street-Smart,Sweet,Urgent
steve holy,Country,,Contemporary Country,Neo-Traditionalist Country,,,,Brooding,Plaintive,Sentimental,,,,,,,
steve miller band,Pop/Rock,,Album Rock,Contemporary Pop/Rock,Arena Rock,Blues-Rock,,Amiable/Good-Natured,Carefree,Earthy,Warm,Celebratory,Dreamy,Laid-Back/Mellow,Quirky,Spacey,Atmospheric
steve perry,Pop/Rock,International,Album Rock,Contemporary Pop/Rock,Soft Rock,Hawaiian,Oceanic Traditions,Dramatic,Slick,Amiable/Good-Natured,Earnest,Elegant,Passionate,Romantic,Rousing,Sentimental,Theatrical
steve winwood,Pop/Rock,R&B,Adult Contemporary,Blue-Eyed Soul,Contemporary Pop/Rock,Soul,Album Rock,Laid-Back/Mellow,Smooth,Stylish,Nocturnal,Refined,Rousing,Sophisticated,Amiable/Good-Natured,Carefree,Cheerful
stevie b,Pop/Rock,,Club/Dance,Dance-Pop,Freestyle,Latin Freestyle,,Carefree,Celebratory,Stylish,Confident,Romantic,Sensual,Fun,Light,Lively,Yearning
stevie nicks,Pop/Rock,,Contemporary Pop/Rock,Soft Rock,Album Rock,,,Literate,Sophisticated,Stylish,Bittersweet,Earthy,Sensual,Theatrical,Brash,Earnest,Fiery
stevie nicks  tom petty,Pop/Rock,,Contemporary Pop/Rock,Soft Rock,Album Rock,,,Literate,Sophisticated,Stylish,Bittersweet,Earthy,Sensual,Theatrical,Brash,Earnest,Fiery
stevie nicks and don henley,Pop/Rock,,Contemporary Pop/Rock,Soft Rock,Album Rock,,,Literate,Sophisticated,Stylish,Bittersweet,Earthy,Sensual,Theatrical,Brash,Earnest,Fiery
stevie wonder,R&B,Jazz,Funk,Motown,Pop-Soul,Soul,Smooth Soul,Cheerful,Exuberant,Joyous,Warm,Bright,Energetic,Exciting,Romantic,Soothing,Carefree
sting,Pop/Rock,,Adult Contemporary,Contemporary Pop/Rock,Contemporary Singer/Songwriter,Adult Alternative Pop/Rock,Album Rock,Elegant,Poignant,Stylish,Wistful,Autumnal,Bittersweet,Carefree,Cerebral,Intimate,Laid-Back/Mellow
stories,Blues,Pop/Rock,Blues Revival,Blues-Rock,British Blues,Electric Harmonica Blues,Regional Blues,Freewheeling,Gritty,Organic,Rollicking,Confident,Earnest,Rousing,Swaggering,Aggressive,Boisterous
strawberry alarm clock,Pop/Rock,,Psychedelic Pop,Psychedelic/Garage,Sunshine Pop,,,Druggy,Freewheeling,Playful,Quirky,Trippy,Carefree,Exuberant,Fun,Happy,Innocent
